Film	Year	Awards	Nominations		Note: data taken from http://en.wikipedia.org/wiki/List_of_Academy_Award-winning_films released under CC-BY-SA http://creativecommons.org/licenses/by-sa/3.0/
King Kong	1976	0	2[8]		
Logan's Run	1976	0	2[10]		
Return of the Jedi	1983	0	4[14]		
Superman	1978	0	3[18]		
The Hindenburg	1975	0	3[6]		
'Round Midnight	1986	1	2		
2001: A Space Odyssey	1968	1	4		
8 Mile	2002	1	1		
A Boy and His Dog	1946	1	1		
A Chance to Live	1949	1	1		
A Christmas Carol	1972	1	1[3]		
A Close Shave	1995	1	1		
A Damsel in Distress	1937	1	2		
A Fish Called Wanda	1988	1	3		
A Free Soul	1930/31	1	3		
A Funny Thing Happened on the Way to the Forum	1966	1	1		
A Greek Tragedy	1986	1	1		
A Hole in the Head	1959	1	1		
A Little Night Music	1977	1	2		
A Little Romance	1979	1	2		
A Note of Triumph: The Golden Age of Norman Corwin	2005	1	1		
A Patch of Blue	1965	1	5		
A Place to Stand, A Place to Grow	1967	1	2		
A River Runs Through It	1992	1	3		
A Separation	2011	1	2		
A Shocking Accident	1982	1	1		
A Star Is Born	1937	1	7		
A Star Is Born	1976	1	4		
A Story of Healing	1997	1	1		
A Thousand Clowns	1965	1	4		
A Time Out of War	1954	1	1		
A Time for Justice	1994	1	1		
A Touch of Class	1973	1	5		
A Tree Grows in Brooklyn	1945	1	2		
A Year Toward Tomorrow	1966	1	1		
Adaptation	2002	1	4		
Adventures of Don Juan	1949	1	2		
Affliction	1998	1	2		
Air Force	1943	1	4		
Airport	1970	1	10		
Albert Schweitzer	1957	1	1		
Alexander's Ragtime Band	1938	1	6		
Alice Doesn't Live Here Anymore	1974	1	3		
Alien	1979	1	2		
All About My Mother(Todo sobre mi madre)	1999	1	1		
All That Money Can Buy(The Devil and Daniel Webster)	1941	1	2		
Almost Famous	2000	1	4		
Ama Girls	1958	1	1		
Amarcord	1974	1	3[1]		
America, America	1963	1	4		
American Dream	1990	1	1		
Amour	2012	1	5		
Amphibious Fighters	1943	1	1		
An American Werewolf in London	1981	1	1		
An Occurrence at Owl Creek Bridge	1963	1	1[12]		
Anastasia	1956	1	2		
Anchors Aweigh	1945	1	5		
Angel and Big Joe	1975	1	1		
Anna & Bella	1985	1	1		
Anna Karenina	2012	1	4		
Anne Frank Remembered	1995	1	1		
Anne of the Thousand Days	1969	1	10		
Annie Get Your Gun	1950	1	4		
Antonia's Line(Antonia)	1995	1	1		
Aquatic House Party	1949	1	1		
Arise, My Love	1940	1	4		
Arthur Rubinstein - The Love of Life(L'Amour de la vie - Artur Rubinstein)	1969	1	1		
Artie Shaw: Time Is All You've Got	1986	1	1		
Atonement	2007	1	7		
BUtterfield 8	1960	1	2		
Babe	1995	1	7		
Babel	2006	1	7		
Babette's Feast	1987	1	1		
Back to the Future	1985	1	4		
Balance	1989	1	1		
Batman	1989	1	1		
Bear Country	1953	1	1		
Becket	1964	1	12		
Bedknobs and Broomsticks	1971	1	5		
Beetlejuice	1988	1	1		
Beginners	2011	1	1		
Being There	1979	1	2		
Belle Epoque(The Age of Beauty)	1993	1	1		
Benjy	1951	1	1		
Best Boy	1979	1	1		
Beyond the Line of Duty	1942	1	1		
Big Mama	2000	1	1		
Bird	1988	1	1		
Birds Anonymous	1957	1	1		
Black Fox	1962	1	1		
Black Orpheus(Orfeu Negro)	1959	1	1		
Black Swan	2010	1	5		
Black and White in Color(Noirs et blancs en couleur)	1976	1	1		
Blithe Spirit	1946	1	1		
Blood and Sand	1941	1	2		
Blood on the Sun	1945	1	1		
Blossoms in the Dust	1941	1	4		
Blue Sky	1994	1	1		
Board and Care	1979	1	1		
Bob's Birthday	1994	1	1		
Body and Soul	1947	1	3		
Bored of Education	1936	1	1		
Born Yesterday	1950	1	5		
Born into Brothels	2004	1	1		
Bowling for Columbine	2002	1	1		
Boys Don't Cry	1999	1	2		
Boys and Girls	1983	1	1		
Brave	2012	1	1		
Breaking Away	1979	1	5		
Breaking the Sound Barrier	1952	1	2		
Breathing Lessons: The Life and Work of Mark O'Brien	1996	1	1		
Broadway Melody of 1936	1935	1	3		
Broken Lance	1954	1	2		
Broken Rainbow	1985	1	1		
Bullets Over Broadway	1994	1	7		
Bullitt	1968	1	2		
Bunny	1998	1	1		
Burnt by the Sun(Utomlyonnye solntsem)	1994	1	1		
Busy Little Bears	1939	1	1		
Butterflies Are Free	1972	1	3		
Cactus Flower	1969	1	1		
Calamity Jane	1953	1	3		
California Suite	1978	1	3		
Call Me Madam	1953	1	2		
Capote	2005	1	5		
Captain Carey, U.S.A.	1950	1	1		
Captains Courageous	1937	1	4		
Casals Conducts: 1964	1964	1	1		
Cat Ballou	1965	1	5		
Chagall	1963	1	1		
Champion	1949	1	6		
Character(Karakter)	1997	1	1		
Charade	1984	1	1		
Charly	1968	1	1		
Chernobyl Heart	2003	1	1		
Children of a Lesser God	1986	1	5		
Chinatown	1974	1	11		
Churchill's Island	1941	1	1		
Cinema Paradiso	1989	1	1		
Citizen Kane	1941	1	9		
City Slickers	1991	1	1		
City of Wax	1934	1	1		
Cleopatra	1934	1	5		
Climbing the Matterhorn	1947	1	1		
Close Encounters of the Third Kind	1977	1	8		
Close Harmony	1981	1	1		
Closed Mondays	1974	1	1		
Closely Watched Trains	1967	1	1		
Coal Miner's Daughter	1980	1	7		
Cold Mountain	2003	1	7		
Come Back, Little Sheba	1952	1	3		
Come and Get It	1936	1	2		
Common Threads: Stories from the Quilt	1989	1	1		
Cool Hand Luke	1967	1	4		
Coquette	1928/29	1	1		
Cover Girl	1944	1	5		
Crac	1981	1	1		
Crash Dive	1943	1	1		
Crashing the Water Barrier	1956	1	1		
Creature Comforts	1990	1	1		
Cries and Whispers(Viskningar och rop)	1973	1	5		
Cromwell	1970	1	2		
Curfew	2012	1	1		
Cyrano de Bergerac	1950	1	1		
Cyrano de Bergerac	1990	1	5		
Czechoslovakia 1968	1969	1	1		
Dangerous	1935	1	1		
Dangerous Moves(La Diagonale du fou)	1984	1	1		
Day for Night	1973	1	4		
Day of the Painter	1960	1	1		
Daybreak in Udi	1949	1	1		
Days of Heaven	1978	1	4		
Days of Waiting	1990	1	1		
Days of Wine and Roses	1962	1	5		
Dead Man Walking	1995	1	4		
Dead Poets Society	1989	1	4		
Deadly Deception: General Electric, Nuclear Weapons and Our Environment	1991	1	1		
Dear Diary	1996	1	1		
Death Becomes Her	1992	1	1		
Death on the Nile	1978	1	1		
December 7th	1943	1	1		
Declaration of Independence	1938	1	1		
Defending Our Lives	1993	1	1		
Departures	2008	1	1		
Der Fuehrer's Face	1942	1	1		
Dersu Uzala	1975	1	1		
Desert Victory	1943	1	1		
Design for Death	1947	1	1		
Designing Woman	1957	1	1		
Destination Moon	1950	1	2		
Dirty Dancing	1987	1	1		
Disraeli	1929/30	1	3		
Divorce, Italian Style	1962	1	3		
Dodsworth	1936	1	7		
Dog Day Afternoon	1975	1	6		
Don't	1974	1	1		
Dr. Jekyll and Mr. Hyde	1931/32	1	3		
Dr. Seuss' How the Grinch Stole Christmas(How the Grinch Stole Christmas)	2000	1	3		
Dumbo	1941	1	2		
Dylan Thomas	1962	1	1		
Earthquake	1974	1	4[4]		
East of Eden	1955	1	4		
Easter Parade	1948	1	1		
Educating Peter	1992	1	1		
Election Night(Valgaften)	1998	1	1		
Elizabeth	1998	1	7		
Elizabeth: The Golden Age	2007	1	2		
Emma	1996	1	2		
Erin Brockovich	2000	1	5		
Ersatz(Surogat)	1961	1	1		
Eskimo	1934	1	1		
Eternal Sunshine of the Spotless Mind	2004	1	2		
Every Child	1979	1	1		
Evita	1996	1	5		
Exodus	1960	1	3		
Facing Your Danger	1946	1	1		
Father Goose	1964	1	3		
Father and Daughter	2000	1	1		
Fellini's Casanova(Il Casanova di Federico Fellini)	1976	1	2		
Ferdinand the Bull	1938	1	1		
Finding Nemo	2003	1	4		
Finding Neverland	2004	1	7		
First Steps	1947	1	1		
Flamenco at 5:15	1983	1	1		
Flashdance	1983	1	4		
Flowers and Trees	1931/32	1	1		
For Scent-imental Reasons	1949	1	1		
For Whom the Bell Tolls	1943	1	9		
For the Birds	2001	1	1		
Frank Film	1973	1	1		
Franz Kafka's It's a Wonderful Life	1994	1	1		
Freeheld	2007	1	1		
Frenchman's Creek	1945	1	1		
From Mao to Mozart: Isaac Stern in China	1980	1	1		
Funny Girl	1968	1	8		
Gate of Hell(Jigokumon)	1954	1	2		
Gay Divorcee, The	1934	1	5		
Genocide	1981	1	1		
Gerald McBoing-Boing	1950	1	1		
Geri's Game	1997	1	1		
Get Out Your Handkerchiefs	1978	1	1		
Giant	1956	1	10		
Girl, Interrupted	1999	1	1		
Giuseppina	1960	1	1		
Give Me Liberty	1936	1	1		
Glass(Glas)	1959	1	1		
God of Love	2010	1	1		
Gods and Monsters	1998	1	3		
Gold Diggers of 1935	1935	1	2		
Goldfinger	1964	1	1		
Goodbye, Miss Turlock	1947	1	1		
Goodbye, Mr. Chips	1939	1	7		
Goodfellas	1990	1	6		
Gosford Park	2001	1	7		
Grand Canyon	1958	1	1		
Grand Hotel	1931/32	1	1		
Grandad of Races	1950	1	1		
Gravity Is My Enemy	1977	1	1		
Great(Great (Isambard Kingdom Brunel))	1975	1	1		
Green Dolphin Street	1947	1	4		
Happy Feet	2006	1	1		
Harlan County, USA	1976	1	1		
Harry and Tonto	1974	1	2		
Harry and the Hendersons	1987	1	1		
Harvey	1950	1	2		
Harvie Krumpet	2003	1	1		
He Makes Me Feel Like Dancin'	1983	1	1		
